# Wavelengths	Intensities
 365.40500	1404.90656
 365.61371	1490.92125
 365.82240	1503.20906
 366.03109	1404.90656
 366.23976	1409.00250
 366.44842	1415.14641
 366.65707	1478.63344
 366.86571	1431.53016
 367.07434	1460.20172
 367.28296	1443.81797
 367.49157	1480.68141
 367.70016	1437.67406
 367.90875	1427.43422
 368.11732	1419.24234
 368.32588	1480.68141
 368.53443	1413.09844
 368.74297	1409.00250
 368.95150	1482.72937
 369.16002	1470.44156
 369.36853	1437.67406
 369.57702	1441.77000
 369.78551	1472.48953
 369.99398	1419.24234
 370.20244	1490.92125
 370.41089	1470.44156
 370.61933	1458.15375
 370.82776	1449.96187
 371.03618	1406.95453
 371.24459	1490.92125
 371.45298	1417.19438
 371.66137	1429.48219
 371.86974	1466.34562
 372.07810	1433.57812
 372.28645	1511.40094
 372.49479	1402.85859
 372.70312	1468.39359
 372.91144	1456.10578
 373.11974	1443.81797
 373.32804	1423.33828
 373.53632	1486.82531
 373.74459	1415.14641
 373.95285	1431.53016
 374.16110	1449.96187
 374.36934	1462.24969
 374.57757	1538.02453
 374.78579	1515.49688
 374.99399	1525.73672
 375.20219	1433.57812
 375.41037	1495.01719
 375.61854	1417.19438
 375.82670	1466.34562
 376.03485	1546.21641
 376.24299	1449.96187
 376.45112	1388.52281
 376.65923	1466.34562
 376.86734	1454.05781
 377.07543	1409.00250
 377.28351	1417.19438
 377.49158	1392.61875
 377.69964	1392.61875
 377.90769	1492.96922
 378.11573	1423.33828
 378.32375	1441.77000
 378.53177	1486.82531
 378.73977	1452.00984
 378.94776	1535.97656
 379.15574	1505.25703
 379.36371	1427.43422
 379.57167	1480.68141
 379.77962	1445.86594
 379.98755	1421.29031
 380.19548	1329.13172
 380.40339	1427.43422
 380.61129	1406.95453
 380.81919	1472.48953
 381.02707	1495.01719
 381.23493	1378.28297
 381.44279	1521.64078
 381.65064	1404.90656
 381.85847	1396.71469
 382.06629	1429.48219
 382.27411	1439.72203
 382.48191	1386.47484
 382.68970	1431.53016
 382.89747	1388.52281
 383.10524	1384.42688
 383.31300	1464.29766
 383.52074	1454.05781
 383.72847	1490.92125
 383.93619	1449.96187
 384.14390	1460.20172
 384.35160	1441.77000
 384.55929	1423.33828
 384.76697	1435.62609
 384.97463	1431.53016
 385.18229	1427.43422
 385.38993	1458.15375
 385.59756	1413.09844
 385.80518	1456.10578
 386.01279	1402.85859
 386.22038	1452.00984
 386.42797	1478.63344
 386.63554	1509.35297
 386.84311	1468.39359
 387.05066	1464.29766
 387.25820	1406.95453
 387.46573	1431.53016
 387.67325	1472.48953
 387.88075	1449.96187
 388.08825	1433.57812
 388.29573	1437.67406
 388.50320	1474.53750
 388.71066	1333.22766
 388.91811	1411.05047
 389.12555	1470.44156
 389.33298	1404.90656
 389.54039	1476.58547
 389.74780	1452.00984
 389.95519	1433.57812
 390.16257	1495.01719
 390.36994	1445.86594
 390.57730	1437.67406
 390.78465	1527.78469
 390.99198	1402.85859
 391.19931	1470.44156
 391.40662	1445.86594
 391.61392	1417.19438
 391.82121	1419.24234
 392.02849	1482.72937
 392.23576	1511.40094
 392.44301	1435.62609
 392.65026	1497.06516
 392.85749	1435.62609
 393.06471	1460.20172
 393.27192	1544.16844
 393.47912	1497.06516
 393.68631	1423.33828
 393.89349	1415.14641
