Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short)
Li,319.636,2,0.61443,5,3,73.463,69.585,1.53E-58,1.53E-58
Li,324.987,2,0.53551,5,3,73.462,69.648,1.33E-58,1.33E-58
Li,484.2944,2,0.069871,3,5,72.145,69.585,1.10E-58,1.10E-58
Li,302.9078,2,0.41793,5,3,73.461,69.369,1.04E-58,1.04E-58
Li,941.534,2,0.21233,7,5,73.461,72.145,7.42E-59,7.42E-59
Li,463.7675,2,0.046514,3,5,72.262,69.589,5.93E-59,5.93E-59
Li,267.4415,2,0.19081,5,3,73.415,68.781,5.17E-59,5.17E-59
Li,319.943,2,0.1483,7,5,73.463,69.589,5.16E-59,5.16E-59
Li,484.3308,2,0.093195,1,3,72.145,69.585,4.88E-59,4.88E-59
Li,272.829,2,0.34603,9,7,74.128,69.585,4.72E-59,4.72E-59
Li,302.9294,2,0.30962,3,1,73.461,69.369,4.64E-59,4.64E-59
Li,319.6216,2,0.1312,7,5,73.463,69.585,4.57E-59,4.57E-59
Li,432.554,2,0.029896,3,5,72.235,69.369,4.00E-59,4.00E-59
Li,41.529,2,0.15923,5,3,73.461,72.145,3.97E-59,3.97E-59
Li,484.3214,2,0.023299,3,3,72.145,69.585,3.66E-59,3.66E-59
Li,484.2775,2,0.013974,5,5,72.145,69.585,3.66E-59,3.66E-59
Li,315.533,2,0.1785,3,5,73.298,69.369,3.58E-59,3.58E-59
Li,302.912,2,0.23222,3,3,73.461,69.369,3.48E-59,3.48E-59
Li,302.914,2,0.13932,5,5,73.461,69.369,3.48E-59,3.48E-59
Li,260.508,2,0.31753,7,5,74.127,69.369,3.38E-59,3.38E-59
Li,267.446,2,0.19081,3,3,73.415,68.781,3.10E-59,3.10E-59
Li,273.047,2,0.28653,7,5,74.128,69.589,3.04E-59,3.04E-59
Li,295.2733,2,0.20309,3,1,73.477,69.28,2.95E-59,2.95E-59
,588.9950954,1,0.616,4,2,2.104,0,1.62E-03,1.99E-04
,589.5924237,1,0.614,2,2,2.102,0,8.13E-04,9.95E-05
,819.48237,1,0.514,6,4,3.617,2.104,2.29E-05,1.14E-05
,818.32556,1,0.429,4,2,3.617,2.102,1.27E-05,6.36E-06
,819.47905,1,0.0857,4,4,3.617,2.104,2.55E-06,1.27E-06
,568.82046,1,0.121,6,4,4.283,2.104,1.01E-06,7.10E-07
,330.2369,1,0.0275,4,2,3.753,0,5.71E-07,3.10E-07
,568.26333,1,0.101,4,2,4.284,2.102,5.64E-07,3.95E-07
,330.2979,1,0.0273,2,2,3.753,0,2.84E-07,1.54E-07
,616.0747,1,0.0498,2,4,4.116,2.104,2.08E-07,1.36E-07
,498.28134,1,0.0488,6,4,4.592,2.104,2.01E-07,1.55E-07
,568.81934,1,0.0202,4,4,4.284,2.104,1.13E-07,7.90E-08
,497.85414,1,0.0409,4,2,4.592,2.102,1.12E-07,8.68E-08
,615.42253,1,0.025,2,2,4.116,2.102,1.04E-07,6.82E-08
,466.85595,1,0.0249,6,4,4.759,2.104,7.04E-08,5.70E-08
,466.48107,1,0.0208,4,2,4.759,2.102,3.92E-08,3.17E-08
,996.128,1,0.0127,8,6,4.861,3.617,3.83E-08,3.17E-08
,515.34024,1,0.0227,2,4,4.51,2.104,3.75E-08,2.84E-08
,449.7658,1,0.0146,6,4,4.86,2.104,3.31E-08,2.74E-08
,996.1306,1,0.0118,6,4,4.861,3.617,2.67E-08,2.21E-08
,285.2811,1,0.00538,4,2,4.345,0,2.60E-08,1.86E-08
,946.594,1,0.00957,8,6,4.926,3.617,2.50E-08,2.10E-08
,439.334,1,0.0117,6,4,4.926,2.104,2.30E-08,1.93E-08
,498.28084,1,0.00815,4,4,4.592,2.104,2.23E-08,1.73E-08
,514.88381,1,0.0114,2,2,4.51,2.102,1.88E-08,1.42E-08
 Na,449.4177,1,0.0123,4,2,4.86,2.102,1.86E-08,1.54E-08
 Na,946.5959,1,0.00893,6,4,4.926,3.617,1.75E-08,1.47E-08
 Na,439.0029,1,0.00983,4,2,4.926,2.102,1.29E-08,1.08E-08
 Na,285.3013,1,0.00531,2,2,4.344,0,1.29E-08,9.20E-09
 Na,475.18218,1,0.0123,2,4,4.713,2.104,1.29E-08,1.03E-08
