wavelength,element_symbol,ionization_level,relative_intensity,concentration,units
277.05,Zn,1,0.1713689376779025,1.5,au
277.05,Zn,1,0.18593338385561226,1.5,au
277.05,Zn,1,0.11811886467812571,1.5,au
277.05,Zn,1,0.19460062527779848,1.5,au
277.05,Zn,1,0.18868961870844775,1.5,au
277.05,Zn,1,0.1352771499927205,1.5,au
277.05,Zn,1,0.158066491648987,1.5,au
277.05,Zn,1,0.1273423838768274,1.5,au
307.287,Zn,1,0.14596482561291876,1.5,au
307.287,Zn,1,0.16847489874352045,1.5,au
307.287,Zn,1,0.1748727929567402,1.5,au
307.287,Zn,1,0.10547998810495562,1.5,au
307.287,Zn,1,0.14992858034107845,1.5,au
307.287,Zn,1,0.1507268128460167,1.5,au
307.287,Zn,1,0.10975892626931662,1.5,au
307.287,Zn,1,0.13483017343381942,1.5,au
307.287,Zn,1,0.11086663031786567,1.5,au
275.576,Zn,1,0.19965986833503058,1.5,au
275.576,Zn,1,0.1845142075177733,1.5,au
275.576,Zn,1,0.19655783174323482,1.5,au
275.576,Zn,1,0.12444333524413898,1.5,au
275.576,Zn,1,0.20316320369680763,1.5,au
275.576,Zn,1,0.1936559833906969,1.5,au
275.576,Zn,1,0.14039452730246982,1.5,au
275.576,Zn,1,0.16852203734359078,1.5,au
275.576,Zn,1,0.14562899812260155,1.5,au
277.05,Zn,1,0.19401926158600816,1.5,au
277.05,Zn,1,0.1713689376779025,1.5,au
277.05,Zn,1,0.18593338385561226,1.5,au
277.05,Zn,1,0.11811886467812571,1.5,au
277.05,Zn,1,0.19460062527779848,1.5,au
277.05,Zn,1,0.18868961870844775,1.5,au
277.05,Zn,1,0.1352771499927205,1.5,au
277.05,Zn,1,0.158066491648987,1.5,au
277.05,Zn,1,0.1273423838768274,1.5,au
280.209,Zn,1,0.4303785030281838,1.5,au
280.209,Zn,1,0.3472138396917189,1.5,au
280.209,Zn,1,0.3670162743784514,1.5,au
280.209,Zn,1,0.2693420915883066,1.5,au
280.209,Zn,1,0.38835761208338815,1.5,au
280.209,Zn,1,0.3895455159846274,1.5,au
280.209,Zn,1,0.30804673985695497,1.5,au
280.209,Zn,1,0.36032708844292816,1.5,au
280.209,Zn,1,0.33275984253449636,1.5,au
303.518,Zn,1,0.12286287468756406,1.5,au
303.518,Zn,1,0.10347881948819243,1.5,au
303.518,Zn,1,0.11306014620888667,1.5,au
303.518,Zn,1,0.07355415839175143,1.5,au
303.518,Zn,1,0.12432097853332341,1.5,au
303.518,Zn,1,0.12274779200121683,1.5,au
303.518,Zn,1,0.08642167561768564,1.5,au
303.518,Zn,1,0.09912074230217688,1.5,au
303.518,Zn,1,0.07971403128143545,1.5,au
334.625,Zn,1,0.17586535363362205,1.5,au
334.625,Zn,1,0.2612783675611963,1.5,au
334.625,Zn,1,0.25897526746518396,1.5,au
334.625,Zn,1,0.14197124672543987,1.5,au
334.625,Zn,1,0.18794550846804697,1.5,au
334.625,Zn,1,0.18543625628721358,1.5,au
334.625,Zn,1,0.13338974294596767,1.5,au
334.625,Zn,1,0.16349853620863972,1.5,au
334.625,Zn,1,0.14717435043250343,1.5,au
301.842,Zn,1,0.1179549550109222,1.5,au
301.842,Zn,1,0.0988270543098809,1.5,au
301.842,Zn,1,0.10949686364005763,1.5,au
301.842,Zn,1,0.07588503904428387,1.5,au
301.842,Zn,1,0.12298848694840848,1.5,au
301.842,Zn,1,0.12060772901463288,1.5,au
301.842,Zn,1,0.0905059327180517,1.5,au
301.842,Zn,1,0.09891862630299442,1.5,au
301.842,Zn,1,0.08183067869391748,1.5,au
271.149,Zn,1,0.17304094280262777,1.5,au
271.149,Zn,1,0.15205130331942912,1.5,au
271.149,Zn,1,0.15545979117407582,1.5,au
271.149,Zn,1,0.10046207048267239,1.5,au
271.149,Zn,1,0.16546733052445073,1.5,au
271.149,Zn,1,0.16072188941532803,1.5,au
271.149,Zn,1,0.11034462967410563,1.5,au
271.149,Zn,1,0.12836706907495732,1.5,au
271.149,Zn,1,0.11570497027548007,1.5,au
692.879,Zn,1,0.12413811518366738,1.5,au
692.879,Zn,1,0.10672946209372534,1.5,au
692.879,Zn,1,0.11814106103737285,1.5,au
692.879,Zn,1,0.07775340527843466,1.5,au
692.879,Zn,1,0.12300504141423789,1.5,au
692.879,Zn,1,0.12338965716665298,1.5,au
692.879,Zn,1,0.089163851190424,1.5,au
692.879,Zn,1,0.10186481155334634,1.5,au
692.879,Zn,1,0.0855786030256725,1.5,au
518.232,Zn,1,0.18994946149299857,1.5,au
518.232,Zn,1,0.1614497836986676,1.5,au
518.232,Zn,1,0.17218919075686906,1.5,au
518.232,Zn,1,0.11293733426251312,1.5,au
518.232,Zn,1,0.18220091234703578,1.5,au
518.232,Zn,1,0.1805148712570369,1.5,au
518.232,Zn,1,0.13183488402983967,1.5,au
518.232,Zn,1,0.15956361774741712,1.5,au
518.232,Zn,1,0.12358280791581089,1.5,au
268.407,Zn,1,0.11783103585680586,1.5,au
268.407,Zn,1,0.10688393258827548,1.5,au
268.407,Zn,1,0.1102370587668271,1.5,au
268.407,Zn,1,0.07331140237864271,1.5,au
268.407,Zn,1,0.11552417661523565,1.5,au
268.407,Zn,1,0.11162389092281229,1.5,au
268.407,Zn,1,0.08340347641976695,1.5,au
268.407,Zn,1,0.09388253691559688,1.5,au
268.407,Zn,1,0.08892502325990813,1.5,au
462.983,Zn,1,0.15451104432245621,1.5,au
462.983,Zn,1,0.1329088002528534,1.5,au
462.983,Zn,1,0.1450898529668538,1.5,au
462.983,Zn,1,0.09489014579092758,1.5,au
462.983,Zn,1,0.1560825950736576,1.5,au
462.983,Zn,1,0.15160245271288997,1.5,au
462.983,Zn,1,0.10979015678515563,1.5,au
462.983,Zn,1,0.13025836288165968,1.5,au
462.983,Zn,1,0.1015653974006572,1.5,au
693.801,Zn,1,0.12232021620902563,1.5,au
693.801,Zn,1,0.10615148325318355,1.5,au
693.801,Zn,1,0.11410627495660901,1.5,au
